y,z,b
-54.065,-141.543,-106658
-54.092,-141.013,-106660
-54.12,-140.868,-106662
-54.148,-141.126,-106664
-54.176,-141.621,-106666
-54.203,-142.229,-106668
-54.231,-142.822,-106670
-54.259,-143.385,-106672
-54.287,-143.888,-106674
-54.315,-144.359,-106676
-54.342,-144.795,-106678
-54.37,-145.208,-106680
-54.398,-145.651,-106682
-54.426,-146.036,-106684
-54.453,-146.37,-106686
-54.481,-146.646,-106688
-54.509,-146.892,-106690
-54.537,-147.108,-106692
-54.565,-147.281,-106694
-54.592,-147.387,-106696
-54.62,-147.433,-106698
-54.648,-147.395,-106700
-54.676,-147.304,-106702
-54.703,-147.149,-106704
-54.731,-146.895,-106706
-54.759,-146.51,-106708
-54.787,-145.965,-106710
-54.815,-145.231,-106712
-54.842,-144.312,-106714
-54.87,-143.206,-106716
-54.898,-141.93,-106718
-54.926,-140.477,-106720
-54.953,-138.82,-106722
-54.981,-136.929,-106724
-55.009,-134.768,-106726
-55.037,-132.248,-106728
-55.065,-129.259,-106730
-55.092,-125.82,-106732
-55.12,-121.798,-106734
-55.148,-117.168,-106736
-55.176,-111.953,-106738
-55.203,-106.321,-106740
-55.231,-101.222,-106742
-55.259,-98.055,-106744
-55.287,-97.795,-106746
-55.315,-98.169,-106748
-55.342,-98.669,-106750
-55.37,-99.283,-106752
-55.398,-100.055,-106754
-55.426,-100.971,-106756
-55.453,-102.021,-106758
-55.481,-103.177,-106760
-55.509,-104.45,-106762
-55.537,-105.919,-106764
-55.565,-107.442,-106766
-55.592,-108.955,-106768
-55.62,-110.456,-106770
-55.648,-112.023,-106772
-55.676,-113.659,-106774
-55.703,-115.253,-106776
-55.731,-116.806,-106778
-55.759,-118.328,-106780
-55.787,-119.846,-106782
-55.815,-121.312,-106784
-55.842,-122.747,-106786
-55.87,-124.216,-106788
-55.898,-125.676,-106790
-55.926,-127.097,-106792
-55.953,-128.492,-106794
-55.981,-129.864,-106796
-56.009,-131.19,-106798
-56.037,-132.411,-106800
-56.065,-133.513,-106802
-56.092,-134.533,-106804
-56.12,-135.474,-106806
-56.148,-136.333,-106808
-56.176,-137.106,-106810
-56.203,-137.787,-106812
-56.231,-138.391,-106814
-56.259,-139.091,-106816
